codec,k,n,trace,assemblies,seed,schedule,gap_ms,arrivals,rank,valid,matrix_ms,encode_ms,root_ms,proof_ms,elimination_ms,backsub_ms,reencode_root_ms,elimination_before_last_ms,tail_ms,completion_ms,array_storage_bound_bytes,process_peak_rss_kib,warmup
rlnc16,8,10,systematic,1,100,online_eager,0.1,8,8,1,0.003116,0.697829,1.7383,0.588023,0.012243,7e-05,1.31103,0.01078,1.38778,2.08778,2883872,24016,1
rlnc16,8,10,systematic,1,100,online_eager,1,8,8,1,0.003116,0.697829,1.7383,0.588023,0.012243,7e-05,1.31103,0.01078,1.38778,8.38778,2883872,24016,1
rlnc16,8,10,systematic,1,101,batch,0,8,8,1,0.001533,0.536707,0.618109,0.60251,0.01151,0.00018,1.29837,0,1.91257,1.91257,2883872,24016,0
rlnc16,8,10,systematic,1,101,batch,0.1,8,8,1,0.001533,0.536707,0.618109,0.60251,0.01151,0.00018,1.29837,0,1.38312,2.08312,2883872,24016,0
rlnc16,8,10,systematic,1,101,batch,1,8,8,1,0.001533,0.536707,0.618109,0.60251,0.01151,0.00018,1.29837,0,1.38312,8.38312,2883872,24016,0
rlnc16,8,10,systematic,1,101,online,0,8,8,1,0.001533,0.536707,0.618109,0.60251,0.01151,0.00018,1.29837,0,1.91257,1.91257,2883872,24016,0
rlnc16,8,10,systematic,1,101,online,0.1,8,8,1,0.001533,0.536707,0.618109,0.60251,0.01151,0.00018,1.29837,0.010148,1.37297,2.07298,2883872,24016,0
rlnc16,8,10,systematic,1,101,online,1,8,8,1,0.001533,0.536707,0.618109,0.60251,0.01151,0.00018,1.29837,0.010148,1.37298,8.37298,2883872,24016,0
rlnc16,8,10,systematic,1,101,online_eager,0,8,8,1,0.001533,0.536707,0.618109,0.595267,0.011461,4e-05,1.30152,0,1.90829,1.90829,2883872,24016,0
rlnc16,8,10,systematic,1,101,online_eager,0.1,8,8,1,0.001533,0.536707,0.618109,0.595267,0.011461,4e-05,1.30152,0.010059,1.37595,2.07595,2883872,24016,0
rlnc16,8,10,systematic,1,101,online_eager,1,8,8,1,0.001533,0.536707,0.618109,0.595267,0.011461,4e-05,1.30152,0.010059,1.37595,8.37595,2883872,24016,0
rlnc16,8,10,systematic,1,102,batch,0,8,8,1,0.001393,0.540183,0.624061,0.62823,0.017482,0.000301,0.975089,0,1.6211,1.6211,2883872,24016,0
rlnc16,8,10,systematic,1,102,batch,0.1,8,8,1,0.001393,0.540183,0.624061,0.62823,0.017482,0.000301,0.975089,0,1.1027,1.8027,2883872,24016,0
rlnc16,8,10,systematic,1,102,batch,1,8,8,1,0.001393,0.540183,0.624061,0.62823,0.017482,0.000301,0.975089,0,1.1027,8.1027,2883872,24016,0
rlnc16,8,10,systematic,1,102,online,0,8,8,1,0.001393,0.540183,0.624061,0.62823,0.017482,0.000301,0.975089,0,1.6211,1.6211,2883872,24016,0
rlnc16,8,10,systematic,1,102,online,0.1,8,8,1,0.001393,0.540183,0.624061,0.62823,0.017482,0.000301,0.975089,0.009457,1.09324,1.79324,2883872,24016,0
rlnc16,8,10,systematic,1,102,online,1,8,8,1,0.001393,0.540183,0.624061,0.62823,0.017482,0.000301,0.975089,0.009457,1.09324,8.09324,2883872,24016,0
rlnc16,8,10,systematic,1,102,online_eager,0,8,8,1,0.001393,0.540183,0.624061,0.335478,0.005951,3e-05,0.697088,0,1.03855,1.03855,2883872,24016,0
rlnc16,8,10,systematic,1,102,online_eager,0.1,8,8,1,0.001393,0.540183,0.624061,0.335478,0.005951,3e-05,0.697088,0.005259,0.738536,1.43854,2883872,24016,0
rlnc16,8,10,systematic,1,102,online_eager,1,8,8,1,0.001393,0.540183,0.624061,0.335478,0.005951,3e-05,0.697088,0.005259,0.738536,7.73854,2883872,24016,0
rlnc16,8,10,systematic,1,103,batch,0,8,8,1,0.001182,0.368181,0.299311,0.302333,0.005251,0.00015,0.636634,0,0.944368,0.944368,2883872,24016,0
rlnc16,8,10,systematic,1,103,batch,0.1,8,8,1,0.001182,0.368181,0.299311,0.302333,0.005251,0.00015,0.636634,0,0.679264,1.37926,2883872,24016,0
rlnc16,8,10,systematic,1,103,batch,1,8,8,1,0.001182,0.368181,0.299311,0.302333,0.005251,0.00015,0.636634,0,0.679264,7.67926,2883872,24016,0
rlnc16,8,10,systematic,1,103,online,0,8,8,1,0.001182,0.368181,0.299311,0.302333,0.005251,0.00015,0.636634,0,0.944368,0.944368,2883872,24016,0
rlnc16,8,10,systematic,1,103,online,0.1,8,8,1,0.001182,0.368181,0.299311,0.302333,0.005251,0.00015,0.636634,0.00462,0.674644,1.37464,2883872,24016,0
rlnc16,8,10,systematic,1,103,online,1,8,8,1,0.001182,0.368181,0.299311,0.302333,0.005251,0.00015,0.636634,0.00462,0.674644,7.67464,2883872,24016,0
rlnc16,8,10,systematic,1,103,online_eager,0,8,8,1,0.001182,0.368181,0.299311,0.294051,0.00522,2e-05,0.648868,0,0.948159,0.948159,2883872,24016,0
rlnc16,8,10,systematic,1,103,online_eager,0.1,8,8,1,0.001182,0.368181,0.299311,0.294051,0.00522,2e-05,0.648868,0.004569,0.686869,1.38687,2883872,24016,0
rlnc16,8,10,systematic,1,103,online_eager,1,8,8,1,0.001182,0.368181,0.299311,0.294051,0.00522,2e-05,0.648868,0.004569,0.686869,7.68687,2883872,24016,0
rs16,8,10,random,1,100,batch,0,8,8,1,0.008165,0.796114,1.7551,0.694793,0.237987,0.493686,1.3703,0,2.79677,2.79677,2883872,24016,1
rs16,8,10,random,1,100,batch,0.1,8,8,1,0.008165,0.796114,1.7551,0.694793,0.237987,0.493686,1.3703,0,2.2504,2.9504,2883872,24016,1
rs16,8,10,random,1,100,batch,1,8,8,1,0.008165,0.796114,1.7551,0.694793,0.237987,0.493686,1.3703,0,2.2504,9.2504,2883872,24016,1
rs16,8,10,random,1,100,online,0,8,8,1,0.008165,0.796114,1.7551,0.694793,0.237987,0.493686,1.3703,0,2.79677,2.79677,2883872,24016,1
rs16,8,10,random,1,100,online,0.1,8,8,1,0.008165,0.796114,1.7551,0.694793,0.237987,0.493686,1.3703,0.106511,2.14389,2.84389,2883872,24016,1
rs16,8,10,random,1,100,online,1,8,8,1,0.008165,0.796114,1.7551,0.694793,0.237987,0.493686,1.3703,0.236454,2.01395,9.01395,2883872,24016,1
rs16,8,10,random,1,100,online_eager,0,8,8,1,0.008165,0.796114,1.7551,0.585247,0.363121,9e-05,1.3055,0,2.25396,2.25396,2883872,24016,1
rs16,8,10,random,1,100,online_eager,0.1,8,8,1,0.008165,0.796114,1.7551,0.585247,0.363121,9e-05,1.3055,0.218169,1.62287,2.32287,2883872,24016,1
rs16,8,10,random,1,100,online_eager,1,8,8,1,0.008165,0.796114,1.7551,0.585247,0.363121,9e-05,1.3055,0.329829,1.41528,8.41528,2883872,24016,1
rs16,8,10,random,1,101,batch,0,8,8,1,0.006392,0.538039,0.622468,0.590338,0.219572,0.331461,1.29709,0,2.43846,2.43846,2883872,24016,0
rs16,8,10,random,1,101,batch,0.1,8,8,1,0.006392,0.538039,0.622468,0.590338,0.219572,0.331461,1.29709,0,1.92784,2.62784,2883872,24016,0
rs16,8,10,random,1,101,batch,1,8,8,1,0.006392,0.538039,0.622468,0.590338,0.219572,0.331461,1.29709,0,1.92784,8.92784,2883872,24016,0
rs16,8,10,random,1,101,online,0,8,8,1,0.006392,0.538039,0.622468,0.590338,0.219572,0.331461,1.29709,0,2.43846,2.43846,2883872,24016,0
rs16,8,10,random,1,101,online,0.1,8,8,1,0.006392,0.538039,0.622468,0.590338,0.219572,0.331461,1.29709,0.048762,1.87907,2.57907,2883872,24016,0
rs16,8,10,random,1,101,online,1,8,8,1,0.006392,0.538039,0.622468,0.590338,0.219572,0.331461,1.29709,0.048762,1.87907,8.87907,2883872,24016,0
rs16,8,10,random,1,101,online_eager,0,8,8,1,0.006392,0.538039,0.622468,0.588545,0.561332,5e-05,1.18939,0,2.33932,2.33932,2883872,24016,0
rs16,8,10,random,1,101,online_eager,0.1,8,8,1,0.006392,0.538039,0.622468,0.588545,0.561332,5e-05,1.18939,0.18158,1.7482,2.4482,2883872,24016,0
rs16,8,10,random,1,101,online_eager,1,8,8,1,0.006392,0.538039,0.622468,0.588545,0.561332,5e-05,1.18939,0.250058,1.57404,8.57404,2883872,24016,0
rs16,8,10,random,1,102,batch,0,8,8,1,0.011311,0.41574,0.296195,0.314601,0.113823,0.221405,0.686628,0,1.33646,1.33646,2883872,24016,0
rs16,8,10,random,1,102,batch,0.1,8,8,1,0.011311,0.41574,0.296195,0.314601,0.113823,0.221405,0.686628,0,1.0612,1.7612,2883872,24016,0
rs16,8,10,random,1,102,batch,1,8,8,1,0.011311,0.41574,0.296195,0.314601,0.113823,0.221405,0.686628,0,1.0612,8.0612,2883872,24016,0
rs16,8,10,random,1,102,online,0,8,8,1,0.011311,0.41574,0.296195,0.314601,0.113823,0.221405,0.686628,0,1.33646,1.33646,2883872,24016,0
rs16,8,10,random,1,102,online,0.1,8,8,1,0.011311,0.41574,0.296195,0.314601,0.113823,0.221405,0.686628,0.063739,0.997461,1.69746,2883872,24016,0
rs16,8,10,random,1,102,online,1,8,8,1,0.011311,0.41574,0.296195,0.314601,0.113823,0.221405,0.686628,0.063739,0.997461,7.99746,2883872,24016,0
rs16,8,10,random,1,102,online_eager,0,8,8,1,0.011311,0.41574,0.296195,0.28351,0.17015,3e-05,0.610154,0,1.06384,1.06384,2883872,24016,0
rs16,8,10,random,1,102,online_eager,0.1,8,8,1,0.011311,0.41574,0.296195,0.28351,0.17015,3e-05,0.610154,0.137488,0.679504,1.3795,2883872,24016,0
rs16,8,10,random,1,102,online_eager,1,8,8,1,0.011311,0.41574,0.296195,0.28351,0.17015,3e-05,0.610154,0.137488,0.679504,7.6795,2883872,24016,0
rs16,8,10,random,1,103,batch,0,8,8,1,0.003326,0.248987,0.28786,0.283402,0.20248,0.243447,0.613831,0,1.34316,1.34316,2883872,24016,0
rs16,8,10,random,1,103,batch,0.1,8,8,1,0.003326,0.248987,0.28786,0.283402,0.20248,0.243447,0.613831,0,1.09562,1.79562,2883872,24016,0
